year,month,marketplace_name,product_name,total_orders,total_items_sold,total_revenue
2024,12,tiktok,Gendes Sweet Aromatic Care Wash Foam Bubble Gum 5 Miracle Bioactives 50 ml,11,11,1070294.00
2024,11,shopee,Gendes Sweet Aromatic Feminine Care Wash Foam Mango 5 Miracle Bioactives Meyeimbangkan PH 50 ml,14,14,1037980.00
2024,9,tiktok,"Gendes Sweet Aromatic 5 all varian spray Vanilla, Bubble gum, Hazelnut, Mango dan Grape",4,4,1034929.00
2024,7,tiktok,Promo Bundling 3 Pcs Gendes Sweet Aromatic Feminine Care All Varian || 7 Miracle Bioactives,6,6,1034139.00
2024,12,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care 4 Pcs Wash Foam dan 5 Pcs Spray,2,2,1030800.00
2024,10,tiktok,Promo Bundling Gendes | 3 Varian Spray & Wash Foam Vanilla,5,5,1026287.00
2024,12,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Mango dan Spray,9,9,1011873.00
2024,5,shopee,PROMO BUNDLING GENDES HANYA 169 RB SAJA || Spray All Variant,6,6,1011068.00
2024,10,shopee,Gendes Sweet Aromatic Feminine Care with Mango 7 Miracle Bioactives Merawat Kewanitaan 23 ml,19,19,992961.00
2024,12,tiktok,Promo Bundling Gendes Sweet Aromatic Foam Grape dan Spray,9,9,980353.00
2024,11,tiktok,Gendes Promo Bundling Sweet Aromatic 2 Spray Beautyvaganza,9,9,955754.00
2024,11,tiktok,"Gendes Sweet Aromatic 5 all varian spray Vanilla, Bubble gum, Hazelnut, Mango dan Grape Free Mazo Vulcano clay Stik",4,4,952048.00
2024,9,shopee,Gendes Sweet Aromatic Feminine Care with Hazelnut 7 Miracle Bioactives Merawat Kewanitaan 23 ml,20,20,948402.00
2024,8,shopee,Gendes Paket Promo Bundling Sweet Aromatic Feminine Care Spray 3 Pcs,9,9,937744.00
2024,9,tiktok,Gendes Sweet Aromatic Spray with Grape 7 Miracle Bioactives,14,14,936747.00
2024,10,shopee,Gendes Sweet Aromatic Feminine Care with Grape 7 Miracle Bioactives  23 ml,15,15,913147.00
