year,month,marketplace_name,province,city,total_customers,total_orders,total_revenue
2024,10,shopee,dki jakarta,kota jakarta pusat,17,18,1423701.00
2024,10,tiktok,banten,kota cilegon,8,10,1421378.00
2024,11,tiktok,jawa tengah,kabupaten sukoharjo,11,12,1418527.00
2024,9,tiktok,dki jakarta,kota jakarta pusat,12,14,1415423.00
2024,6,shopee,bali,kabupaten badung,3,3,1415107.00
2024,10,shopee,jawa timur,kota surabaya,12,14,1380053.00
2024,10,tiktok,bali,kabupaten tabanan,13,14,1377885.00
2024,8,shopee,jawa tengah,kabupaten cilacap,13,14,1374758.00
2024,8,tiktok,banten,kabupaten tangerang,12,13,1374071.00
2024,9,shopee,sumatera selatan,kabupaten ogan komering ilir,4,4,1371912.00
2024,12,tiktok,dki jakarta,kota jakarta utara,14,14,1366643.00
2024,9,tiktok,jawa timur,kabupaten sumenep,11,14,1366260.00
2024,11,tiktok,jawa tengah,kabupaten cilacap,8,10,1365783.00
2024,12,tiktok,jawa tengah,kabupaten brebes,11,11,1364362.00
2024,6,shopee,jawa tengah,kabupaten cilacap,17,17,1363045.00
2024,6,tiktok,nusa tenggara barat (ntb),kabupaten lombok tengah,8,8,1362680.00
2024,9,shopee,jawa tengah,kabupaten cilacap,15,17,1360346.00
2024,9,tiktok,jawa barat,kabupaten karawang,10,12,1358865.00
2024,11,tiktok,banten,kabupaten tangerang,12,13,1357061.00
2024,9,tiktok,bali,kabupaten klungkung,9,9,1355452.00
2024,12,tiktok,sulawesi selatan,kabupaten maros,2,3,1355113.00
2024,9,tiktok,jawa barat,kabupaten indramayu,14,14,1348488.00
2024,12,tiktok,banten,kota tangerang selatan,13,13,1346160.00
2024,9,shopee,jawa tengah,kota semarang,13,15,1342734.00
2024,11,tiktok,jawa timur,kota malang,11,14,1341438.00
2024,7,tiktok,jawa barat,kabupaten bekasi,14,14,1335829.00
2024,7,shopee,jawa tengah,kota semarang,15,15,1333655.00
2024,7,shopee,jawa tengah,kabupaten banyumas,13,14,1323826.00
2024,7,tiktok,banten,kabupaten serang,11,13,1321080.00
2024,9,shopee,jawa barat,kabupaten bandung,14,14,1317928.00
2024,11,tiktok,jawa tengah,kabupaten grobogan,6,9,1317100.00
2024,11,shopee,dki jakarta,kota jakarta pusat,15,16,1310003.00
2024,11,tiktok,jawa timur,kabupaten sumenep,11,12,1309381.00
2024,10,tiktok,jawa tengah,kabupaten tegal,12,13,1299564.00
2024,6,tiktok,jawa timur,kota surabaya,10,11,1293496.00
2024,7,tiktok,jawa timur,kabupaten bangkalan,10,10,1291689.00
2024,9,tiktok,jawa barat,kabupaten cirebon,12,12,1288874.00
2024,7,tiktok,jawa barat,kabupaten cianjur,12,12,1286607.00
2024,8,tiktok,jawa tengah,kabupaten kebumen,9,10,1281845.00
2024,5,shopee,jawa barat,kota depok,13,14,1274433.00
2024,11,tiktok,nusa tenggara barat (ntb),kabupaten sumbawa,14,14,1271526.00
2024,7,shopee,jawa timur,kabupaten mojokerto,11,12,1266112.00
2024,9,tiktok,jawa tengah,kabupaten brebes,9,9,1265548.00
2024,7,tiktok,nusa tenggara barat (ntb),kabupaten sumbawa,11,11,1263005.00
2024,10,tiktok,riau,kabupaten kampar,8,8,1254377.00
2024,9,tiktok,jawa tengah,kabupaten karanganyar,6,7,1253063.00
2024,8,tiktok,jawa barat,kabupaten cirebon,10,12,1250146.00
2024,8,tiktok,banten,kota cilegon,10,11,1249597.00
2024,4,shopee,dki jakarta,kota jakarta selatan,16,17,1246278.00
2024,9,tiktok,sumatera utara,kota medan,12,13,1242955.00
2024,10,tiktok,jawa barat,kabupaten garut,10,11,1242436.00
2024,8,tiktok,bali,kabupaten buleleng,12,12,1240321.00
2024,8,shopee,jawa tengah,kabupaten semarang,9,11,1238764.00
2024,10,tiktok,jawa tengah,kabupaten banyumas,12,12,1237375.00
2024,7,shopee,jawa tengah,kabupaten magelang,15,16,1235985.00
2024,9,tiktok,nusa tenggara barat (ntb),kabupaten sumbawa,9,10,1232121.00
2024,12,shopee,jawa barat,kota bandung,16,16,1231511.00
2024,11,shopee,jawa barat,kota bogor,15,17,1226950.00
2024,8,tiktok,jawa timur,kabupaten pamekasan,10,11,1224011.00
2024,8,shopee,jawa tengah,kabupaten brebes,12,15,1222358.00
2024,6,tiktok,jawa barat,kota bandung,9,9,1220393.00
2024,8,shopee,jawa barat,kota bogor,15,18,1219256.00
2024,8,shopee,lampung,kota bandar lampung,10,13,1214974.00
